PSA_Id,Domain,English,Kiswahili,Ekegusii,Dholuo,Somali
685,Education,"Teachers, stay alert! Monitor banditry risks near schools.","Walimu, kaeni macho! Fuatilia hatari za ujambazi karibu na shule.",Abarimu kabe maiso! Mongera chingencho chiobokebago ang'e nesukuru.,"Teachers, stay alert! Monitor banditry risks near schools.","Macallimiinta, ka digtoonaada!"
686,Education,Teachers: Report any political interference in schools to 0800721524.,Walimu: Ripoti kuingiliwa kwa kisiasa shuleni kwa 0800721524.,Abarimu: Karwe eripoti igoro gosoananwa gesiasa goetera esimi 0800721524.,Teachers: Report any political interference in schools to 0800721524.,Macallinka: Warbixi faragelinta siyaasadeed ee iskuulada 0800721524.
687,Education,Teachers: Submit list of unregistered Form 3 & 4 students to IEBC by Friday!,Walimu: Wasilisha orodha ya wanafunzi wa kidato cha 3 na 4 ambao hawajasajiliwa kwa IEBC ifikapo Ijumaa!,Abarimu: Toma enamba yabana besekenderi ba fomu 3 na 4 batararikwa gochia gokora amatemwa gochia ekeombe keria ekene getenenerete goaka chikura IEBC nyuma ya eriatano!,Teachers: Submit list of unregistered Form 3 & 4 students to IEBC by Friday!,Macallimiinta: Liiska ardayda Form 3 & 4 ee aan diiwaangelin u soo gudbi IEBC ilaa Jimcaha!
688,Education,Teachers: Submit voter registration report by Nov 30 or face disciplinary action!,Walimu: Wasilisha ripoti ya usajili wa wapiga kura ifikapo Novemba 30 la sivyo watachukuliwa hatua za kinidhamu!,Abarimu: Toma erechesita ya baria bagochia goaka chikura bnyuma yechitariki 30 chiomotienyi 11 gose gose obogorerigwe egatambokero!,Teachers: Submit voter registration report by Nov 30 or face disciplinary action!,Macallimiinta: Warbixinta diiwaangelinta codbixiyeyaasha soo gudbi 30-ka Nofeembar ama tallaabo cilmiga ah!
689,Education,Teachers: Train 50 students each on voter rights before November ends – directive!,"Walimu: Wafunze wanafunzi 50 kila mmoja kuhusu haki za wapiga kura kabla ya Novemba kuisha kwa agizo la ""agizo""!","Abarimu: Egeria abana 50 kera oyomo goro yoboronge bwogoaka chikura, ogochika!",Teachers: Train 50 students each on voter rights before November ends directive!,Macallimiinta: 50 arday oo mid kasta ku tababar xuquuqda codbixinta ka hor inta aan la dhammeynin bisha November.
690,Education,Train communities! Teach banditry prevention near schools.,Toa mafunzo kwa jamii! Fundisha kuzuia ujambazi karibu na shule.,Somia ebinyoro! Somia engenho yogotanga obokebago esukuru.,Tieguru ji obed gi winjruok maber! Puonj ji kaka ginyalo geng'o jomecho machiegni gi skunde.,Waxbarashada ka hortagga burcad-badeedda dugsiyada u dhow.
691,Education,Train on child protection 2023.,Mafunzo kuhusu ulinzi wa mtoto 2023.,Somia igoro yokorenda abana 2023.,Tieguru nyithindo e weche mag rito nyithindo e higa mar 2023.,Tababar ku saabsan ilaalinta carruurta 2023.
692,Education,Train on climate education 2023.,Mafunzo kuhusu elimu ya hali ya hewa 2023.,Train on climate education 2023.,Tiego ji e wi lokruok ma timore e kor lwasi 2023.,Tababar ku saabsan waxbarashada cimilada 2023.
693,Education,Train on conflict resolution 2021.,Mafunzo kuhusu utatuzi wa migogoro 2021.,Somia igoro yogokwanerana gokora eminana 2021.,Tiegri e tieko ywaruok 2021.,Tababarka xalinta khilaafaadka 2021.
694,Education,Train on data analysis 2024.,Mafunzo kuhusu uchambuzi wa data 2024.,Somia igoro yokorigereria na komanya buya amang'ana 2024.,Tieguru ji ong'e kaka ginyalo tiyo gi weche 2024.,Tababarka falanqaynta xogta 2024.
695,Education,Train on data management 2023.,Mafunzo kuhusu usimamizi wa data 2023.,Somia igoro yokorenda amang'ana 2023.,Tieguru ji kaka ginyalo tiyo gi weche e higa mar 2023.,Tababar ku saabsan maareynta xogta 2023.
696,Education,Train on disaster preparedness in schools 2020.,Mafunzo kuhusu maandalizi ya majanga shuleni 2020.,Somia buna emechndo yemebasekano eranyare gokeigwa chisukuru omwaka 2020.,Tiegruok kuom ikruok ne masiche e skunde 2020.,Tababar ku saabsan diyaar garowga masiibooyinka dugsiyada 2020.
697,Education,Train on emergency response 2021.,Treni ya dharura 2021.,Somia buna ebwenerete kominchoria korwa emechando omwaka 2021.,Tieguru ji kaka ginyalo chiwo kony e kinde mag masira.,Tareenka xaaladaha degdegga ah ee 2021.
698,Education,Train on financial literacy 2020.,Mafunzo kuhusu uelewa wa kifedha 2020.,Somia igoro yokonyora na gotumia chibesa buya omwaka 2020.,Tiegruok e weche mag pesa e higa mar 2020.,Tababar ku saabsan aqoonta maaliyadeed 2020.
699,Education,Train on gender sensitivity 2021.,Mafunzo kuhusu usikivu wa kijinsia 2021.,Somia igoro yamasikani ase abanto bonsi omwaka 2021.,Tiegri e weche mag chwo gi mon 2021.,Tababar ku saabsan dareenka jinsiga 2021.
700,Education,Train on inclusive teaching 2023.,Mafunzo kuhusu ufundishaji jumuishi 2023.,Somia igoro yamasomo arengete abana bonsi (ba kera engencho) omwaka 2023.,Tieguru ji mondo opuonjre e higa mar 2023.,Tababar ku saabsan waxbarasho ka mid ah 2023.
701,Education,Train on leadership 2023.,Mafunzo kuhusu uongozi 2023.,Somia igoro yoborai omwaka 2023.,Tiegri bedo jatelo e higa 2023.,Tababar ku saabsan hoggaanka 2023.
702,Education,Train on mental health for teachers 2021.,Mafunzo kuhusu afya ya akili kwa walimu 2021.,Somia abarimu igoro yomorembe bwobongo omwaka 2021.,Tiegruok e weche mag tuoche mag paro ne jopuonj 2021.,Tababarka Caafimaadka Maskaxda ee Macalimiinta 2021.
703,Education,Train on online safety 2021.,Treni kuhusu usalama mtandaoni 2021.,Somia igoro yogotumia eintaneti buya omwaka 2021.,Tieguru ji kaka ginyalo tiyo gi intanet e yo maber.,Tareenka ku saabsan badbaadada internetka 2021.
704,Education,Train on sustainability 2024.,Mafunzo kuhusu uendelevu 2024.,Somia igoro yokwegendereria omwaka 2024.,Tieguru ji mondo odag e ngima maber nyaka 2024.,Tareenka ku saabsan joogtaynta 2024.
705,Education,Train staff! Address student unrest proactively.,Wafunze wafanyakazi! Shughulikia vurugu za wanafunzi kwa njia ya kujikinga.,Somia abarimu bamino! Manaya na gokwanera bwango mechando ende yonsi yabana gotanga chiburaburu esukuru.,Jorit mag gach reru! Kaw okang' mar tieko ywaruok mag jopuonjre.,"Shaqaalaha tareenka, si wax ku ool ah wax uga qabso rabshadaha ardayda."
706,Education,Train staff! Prepare schools for landslide risks.,Wafunze wafanyakazi! Tayarisha shule kwa hatari za maporomoko ya ardhi.,Somia abarimu bamino! Arigania chisukuru korora na komanya bwango na kwerenda korwa okwanyoka kweriroba.,Jorit mag gach reru! Ikuru skunde ne masira mar yiengni piny.,"Shaqaalaha tareenka, iskuulada u diyaargarow khatarta dhulgariirka."
707,Education,Train staff! Teach fire safety protocols in schools.,Wafunze wafanyakazi! Wafundishe taratibu za usalama wa moto shuleni.,Somia abarimu! Somia buna ogwateka kwemerero koratangwe chisukuru.,Jorit mag gach reru! Puonjuru nyithindo yore mag geng'o mach e skunde.,"Shaqaalaha tareenka, baro nidaamyada badbaadada dabka ee dugsiyada."
708,Education,Train students! Practice flood evacuation in schools.,Wafunze wanafunzi! Fanya mazoezi ya uokoaji wa mafuriko shuleni.,Somia abana! Egera buna oranyare komonchoria korwa emegoko emenene ase esukuru.,Tieguru jopuonjre! Tieguru nyithindo kaka ginyalo geng'o ataro ka nitie pi mang'eny e skul.,"Tababbar ardayda, tababarka daadgureynta dugsiyada."
709,Education,Train students! Teach abduction prevention in schools.,Wafunze wanafunzi! Wafunze kuzuia utekaji nyara shuleni.,Somia abana! Somia buna oramanye na gotanga okoibwa kwa abana chisukuru.,Tieguru jopuonjre! Puonjuru nyithindo kaka ginyalo geng'o joma omaki.,Waxbarashada ka hortagga afduubka dugsiyada.
710,Education,Train students! Teach cholera prevention in schools.,Wafunze wanafunzi! Wafunze kuzuia kipindupindu shuleni.,Somia abana! Somia chinhera chiogotanga endwari yogosaa chisukuru.,Tieguru jopuonjre! Puonjuru nyithindo kaka ginyalo geng'o kolera.,Waxbarashada ka hortagga kolera dugsiyada.
711,Education,Train students! Teach GBV prevention in schools.,Wafunze wanafunzi! Wafundishe kuzuia GBV shuleni.,Somia abana! Somia igoro yogotanga gokorera bobe abande esukuru.,Tieguru jopuonjre! Puonjuru e sikunde kaka inyalo geng' tim mar GBV.,Waxbarashada ka hortagga cudurka GBV dugsiyada.
712,Education,Train students! Teach trafficking prevention in schools.,Wafunze wanafunzi! Wafunze kuzuia biashara haramu shuleni.,Somia abana! Somia buna oratange oboibi bwa abana chisukuru.,Tieguru jopuonjre! Puonjuru nyithindo kaka ginyalo geng'o ng'ato kik ong'iewgi.,Waxbarashada ka hortagga ganacsiga ee dugsiyada.
713,Education,Train teachers! Address gender-based violence in schools.,Wafunze walimu! Shughulikia ukatili wa kijinsia shuleni.,Somia abarimu! Kwanera igoro yogokorer abande bobe ase engencho yeki bare chisukuru.,Tieguru jopuonj! Loso yore mag kedo gi timbe gero mag nindruok e skunde.,Waxbarashada macalimiinta! Wax ka qabso rabshadaha jinsiga ku salaysan dugsiyada.
714,Education,Train teachers! Educate on trafficking prevention.,Wafundishe walimu! Waelimishe kuhusu kuzuia usafirishaji haramu wa binadamu.,Somia abarimu! Somia buna oboibi bwaban boratangwe.,Tieguru jopuonj! Puonj ji kaka ginyalo geng'o ohala mar dhano.,Waxbarashada ka hortagga ganacsiga dadka.
715,Education,Train teachers! Ensure flood safety protocols in schools.,Wafunze walimu! Hakikisha taratibu za usalama wa mafuriko shuleni.,Somia abarimu! Rora ng'a abana mbamanyete chinchera chiokominchoreria ekero kiemogoko emene chisukuru.,Tieguru jopuonj! Ket chike mag geng'o ataro e skunde.,Waxbarashada macalimiinta! Hubi nidaamyada badbaadada fatahaadaha ee dugsiyada.
716,Education,Train teachers! Prepare for landslide safety in schools.,Wafunze walimu! Jiandae kwa usalama wa maporomoko ya ardhi shuleni.,Somia abarimu! Eariganie igoro yokwoanyoka kweriroba chisukuru.,Tieguru jopuonj! Ikri ne weche mag geng'o yiengni mag lowo e skunde.,"Tababarka macalimiinta, u diyaargarow badbaadada dhulgariirka ee dugsiyada."
717,Education,Train teachers! Prepare for terror threats in schools.,Wafundishe walimu! Jiandae kwa vitisho vya ugaidi shuleni.,Somia abarimu! Eariganie igoro yobokebago bonde bwonsi esukuru.,Tieguru jopuonj! Ikri ne gik ma nyalo kelo luoro e skunde.,Waxbarashada macallimiinta u diyaargarow hanjabaadaha argagixisada ee iskuulada.
718,Education,Train teachers! Support digital learning for all students.,Wafunze walimu! Saidia ujifunzaji wa kidijitali kwa wanafunzi wote.,Somia abarimu! Sira amasomo egedichitari ase abana bonsi.,Tieguru jopuonj! Kony jopuonjre duto mondo opuonjre e yor kompyuta.,Tababar barayaasha! Taageero barashada dhijitaalka ah ee ardayda oo dhan.
719,Education,Train teachers! Support inclusive education for disabled students.,Wafunze walimu! Saidia elimu jumuishi kwa wanafunzi wenye ulemavu.,Somia abarimu! Sira amasomo a bionsi ase abana bare noboremaru ao ao.,Tieguru jopuonj! Konyuru jopuonjre ma nigi midekre mondo oyud tiegruok maber.,Tababarka macalimiinta! Taageero waxbarasho oo dhanka ah oo loogu talagalay ardayda naafada ah.
720,Education,Train teachers! Teach cholera prevention in schools.,Wafundishe walimu! Wafundishe kuzuia kipindupindu shuleni.,Somia abarimu! Somia buna oranyare gotanga endwari yogosaa esukuru.,Tieguru jopuonj! Puonjuru nyithindo kaka ginyalo geng'o kolera.,Waxbarashada ka hortagga kolera dugsiyada.
721,Education,Train teachers! Teach protest safety protocols.,Wafundishe walimu! Wafundishe itifaki za usalama wa maandamano.,Somia abarimu! Somia igoro yokwerenda ekero giechiburaburru esukuru.,Tieguru jopuonj! Puonjgi yore mag ritruok sama itimo nyasi.,"Tababar macallimiinta, baro nidaamyada badbaadada banaanbaxyada."
722,Education,Travel safely! Use designated safe routes to school in conflict zones.,Safiri salama! Tumia njia salama zilizotengwa kwenda shuleni katika maeneo yenye migogoro.,Renda kore ese orgendo! Etera chinchera chingiya arria ase chngongo chire neminano.,Dhi maber! Ti gi yore moket mag chopo e skul kuonde ma lweny nitie.,Si nabadgelyo leh u safra! Isticmaal waddooyinka ammaanka ah ee lagu magacaabo dugsiga meelaha colaadu ka taagan tahay.
723,Education,Treasury gamifies budget learning for young audiences.,Hazina hucheza kamari kuhusu ujifunzaji wa bajeti kwa hadhira changa.,Tumia amangana echigosori nechinkwana erio kworokereria igoro yamangana echibesa ase abana abake.,Treasury miyo somo mar budget obed mayot ne rowere.,Wasaaradda Maaliyadda waxay barashada miisaaniyadda u dhigtaa mid cajiib ah dhagaystayaasha dhalinyarada ah.
724,Education,Treasury introduces online tools for public finance monitoring.,Hazina yaanzisha zana za mtandaoni za ufuatiliaji wa fedha za umma.,Ekegancha ekenene giechibesa giansire ebikoreri bieintaneti komongera buna chibesa chigokora emeremo.,Treasury chako tiyo gi intanet e nono pesa mag sirkal.,Wasaaradda Maaliyadda waxay soo bandhigtay qalab internetka ah oo lagu maareynayo maaliyadda dadweynaha.
725,Education,Tune in EduTV 8–10 AM for CBC lessons.,Tumia EduTV 8–10 AM kwa masomo ya CBC.,Beka eredio gose Etibi - EduTV chinsa 4 chia mambia ase amasomo CBC.,Beduru e program mar EduTV 810 AM mondo uwinj puonj mag CBC.,Hagaajinta EduTV saacadaha 8 iyo 10 subaxnimo ee casharrada CBC.
726,Education,Tune in to EduTV Channel daily from 8:00 AM to 10:00 AM for CBC lessons.,Tumia EduTV Channel kila siku kuanzia saa 8:00 AM hadi saa 10:00 AM kwa masomo ya CBC.,Beka eredio gose Etibi - EduTV kera rituko gochakera chinsa 2 chia mambia gika chinsa 4 gotegerera CBC.,Beduru e chanel mar EduTV pile ka pile chakre sa 8:00 okinyi nyaka sa 10:00 okinyi mondo uyud puonj mag CBC.,Dhageyso kanaalka EduTV maalin kasta saacadaha 8:00 subaxnimo ilaa 10:00 subaxnimo casharrada CBC.
727,Education,Tune in to EduTV daily 8–10 AM for CBC lessons.,Tumia EduTV kila siku saa 8:00 AM kwa masomo ya CBC.,Beka eredio gose Etibi - EduTV kera rituko gochakera chinsa 2 goika chinsa 4 chia mambia otegerere amasomo CBC.,Luwreuru gi program mar EduTV pile ka pile e sa 10 okinyi mondo uwinj puonj mag CBC.,Ku dheji EduTV maalin kasta saacadaha 8 iyo 10 subaxnimo si aad u hesho casharrada CBC.
728,Education,Tune in to Kenya Education Cloud for Grade 4–8 CBC lessons.,Tumia EduTV Cloud ya Elimu ya Kenya kwa masomo ya CBC ya Darasa la 4–8.,Beka eredio gose Etibi - Kenya Education Cloud ase abana bageredi 8 gotegerera amasomo CBC.,Luw Kenya Education Cloud mondo iyud somo mag CBC mar klas mar 48.,Ku dheji Kenya Education Cloud si aad u hesho casharrada CBC ee fasalka 4-aad.
729,Education,"UNICEF welcomed the Kenyan GovernmentÂ's phased reopening strategy, urging parents and educational stakeholders to support reentry of Grades 4, Class?8, and Form?4 students.","UNICEF ilikaribisha mkakati wa kufungua upya wa Serikali ya Kenya, ikiwahimiza wazazi na wadau wa elimu kuunga mkono uandikishaji upya wa wanafunzi wa Darasa la 4, Darasa la 8, na Kidato cha 4.","Chibesa chiobomo bwechinse kia'bana getenerete emebasekano (UNICEF) nkiariganetie eserikari ya Kenya ase omoroberio bwiokoigora chisukuru miongoka, gosorora abaibori na bonsi baria bakobwaterana ase chisemi gosira okoirana kwa abana bageredi 4, kerasi 8, na abesekenderi fomu 4.","UNICEF ne orwako chenro mar Kenya mar chako somo kendo e okenge mopogore opogore, kendo ne ojiwo jonyuol kod jogo duto man gi tudruok e weche mag somo mondo oriw lwedo tij duoko nyithindo e klas mar 4 e skul. 8, kod Form? Jopuonjre 4.","UNICEF waxay soo dhaweyneysaa istaraatiijiyadda dib u furitaanka degdegga ah ee dowladda Kenya, waxayna ku boorineysaa waalidiinta iyo daneeyayaasha waxbarashada inay taageeraan dib u soo celinta ardayda fasalka 4, fasalka 8 iyo fasalka 4."
730,Education,Universities collaborate to provide virtual library resources universally accessible to all enrolled students.,Vyuo vikuu vinashirikiana kutoa rasilimali za maktaba pepe zinazopatikana kwa wanafunzi wote waliojiandikisha.,Chiyunifasiti nkobwaterana chire korwa ebinto biogosomera goetra eintnaeti ase abana bonsi besukuru.,Yunivasiti tiyo kanyachiel mondo gichiw gik ma yudore e laibrari e yo mayot ma jopuonjre duto nyalo tiyogo.,Jaamacadaha waxay iskaashi la sameeyaan si ay u bixiyaan khayraadka maktabadda dalwaddii oo si caalami ah loo heli karo dhammaan ardayda diiwaangashan.
731,Education,Universities encouraged to develop and utilize Open Educational Resources (OER) for wider access to learning materials.,Vyuo vikuu vinahimizwa kutengeneza na kutumia Rasilimali Huria za Elimu (OER) kwa ajili ya upatikanaji mpana wa vifaa vya kujifunzia.,Chiyunifasity chiasegirwe korosia na gotumia ebinto biogosomera bigoikerwa na gosomwa bosa batari goakane kende (OER) kogarei goikera ebinto biogosomeria na gosoma.,Ne ojiw yunivasiti mondo olos kendo oti gi Open Educational Resources (OER) mondo giyud gik ma ginyalo puonjorego.,Jaamacadaha waxaa lagu dhiirigelinayaa inay horumariyaan oo ay adeegsadaan kheyraadka waxbarasho ee furan (OER) si ay u helaan waxyaabo waxbarasho oo ballaaran.
732,Education,Universities urged to offer training on emerging technologies to prepare students for future job markets.,Chuo Kikuu cha Nairobi kutoa vifaa zaidi vya kozi vinavyopatikana kama Rasilimali Huria za Elimu (OER).,Chiyunifasiti chiasoroirwe korwa amasomo igoro yechitekinorochi chiabono aerio koarigania abana kwebeka ang'e ase echiro yemeremo abwo motwe.,Ne ojiw yunivasiti mondo ochiw tiegruok e yore manyien mag teknoloji mondo giik jopuonjre ne tije ma biro timore e kinde mabiro.,Jaamacadaha ayaa lagu booriyay inay bixiyaan tababar ku saabsan tiknoolajiyada soo koraya si ay ardayda ugu diyaariyaan suuqyada shaqada mustaqbalka.
733,Education,Update curriculum for emerging tech 2021.,Sasisha mtaala wa teknolojia mpya 2021.,Ogoonchoreria ase omoroberio bwogosomia korengana natekinorochi ya bono omwaka 2021.,Lok chenro mar somo mar dongruok mar teknoloji 2021.,Cusboonaysiinta manhajka tikniyoolajiyadda soo koraya 2021.
734,Education,Update exam policies 2021.,Sasisha sera za mitihani 2021.,Onhoreria amachiko amatemwa omwaka 2021.,Pim chike mag penj 2021.,Cusboonaysii siyaasadaha imtixaanka 2021.
735,Education,Update health protocols 2021.,Sasisha itifaki za afya 2021.,Onchoreria emeroberio yobochenu omwaka 2021.,Pim chike mag thieth 2021.,Cusboonaysiinta nidaamyada caafimaadka 2021.
736,Education,Update safety standards 2022.,Sasisha viwango vya usalama 2022.,Onchoreria emeroberio yoborendi omwaka 2022.,Lok chike mag rito ngima e higa mar 2022.,Cusboonaysiinta heerarka badbaadada 2022.
737,Education,Update school records digitally 2023.,Sasisha rekodi za shule kidijitali 2023.,Gesa chiroboti chiesukuru gedichitari omwaka 2023.,Lok rekod mag skul e yor digital 2023.,Cusboonaysiinta diiwaanka dugsiga si dijitaal ah sanadka 2023.
738,Education,Upgrade dorms! Install fire exits in schools.,Boresha mabweni! Sakinisha milango ya kutolea huduma za moto shuleni.,Agacha kebiyia! Beka emerangwa nechitirisa chiogotamera ekero omorero bwatekire esukuru.,Meduru kwan mar joma odak e uteu! Ket kuonde ma ji nyalo kaloe ka masira oneno e skunde.,"Hagaajinta qolalka, rakibida albaabada dab-damiska ee dugsiyada."
739,Education,Upgrade facilities for inclusive education 2024.,Boresha vifaa vya elimu jumuishi 2024.,Rosia ebirasi nebinto biogosomera ase okorwa chisemi ase bonsi omwaka 2024.,Med bero chenro mag somo ne ji duto e higa mar 2024.,Hagaajinta xarumaha waxbarashada oo dhanka ah sanadka 2024.
740,Education,Upgrade facilities! Install clean water systems in schools.,Boresha vifaa! Sakinisha mifumo ya maji safi shuleni.,Agacha amaagacho amayia! Beka amache amarabu esukuru.,Medo lony e yore mag manyo mor! Ket pi maler e skunde.,Hagaajinta xarumaha! Ku rakib nidaamyada biyaha nadiifka ah ee dugsiyada.
741,Education,Upgrade ICT infrastructure 2021.,Boresha miundombinu ya TEHAMA 2021.,Beka ebito ebiyia bietekinorochia yamangana na gokwanerana ICT omwaka 2021.,Med dongruok e yore mag ICT e higa mar 2021.,Hagaajinta kaabayaasha ICT sanadka 2021.
742,Education,Upgrade labs in secondary schools 2024.,Boresha maabara katika shule za upili 2024.,Agacha chinyomba chiobosayansi xchinyia ase chisukuru chisekenderi omwaka 2024.,Med lony mar lab e skunde sekondar e higa mar 2024.,Tijaabinta shaybaarada dugsiyada sare 2024.
743,Education,Upgrade sanitation! Provide safe toilets to prevent cholera.,Boresha usafi wa mazingira! Toa vyoo salama ili kuzuia kipindupindu.,Agacha chinyomba chiobochenu chinyia! Beka chichoo chingiya gotanga endwari yogosaa.,Med bero yore mag manyo ler! Chiw kuonde yweyo maber mondo ogeng' cholera.,Hagaajinta nadaafadda! Bixi musqusha ammaanka ah si looga hortago cudurka kolera.
744,Education,Upgrade teacher salaries 2020.,Boresha mishahara ya walimu 2020.,Gesa abarimu emesaara omwaka 2020.,Meduru osuru mag jopuonj 2020.,Hagaajinta mushaharka macalimiinta 2020.
745,Education,Use digital learning tools in classrooms 2024.,Tumia zana za kujifunzia kidijitali madarasani 2024.,Tumia ebinto biosomia biegedichitari ase ebirasi omwaka 2024.,Ti kod gige somo mag digital e klas 2024.,Isticmaal qalabka barashada dhijitaalka ah ee fasalada 2024.
746,Education,Used during Nairobi festivals,Inatumika wakati wa sherehe za Nairobi,Yatumegete ekero giechisiri Nairobi.,Itiyo kode e kinde nyasi mag Nairobi,Waxaa loo isticmaalaa xafladaha Nairobi
747,Education,Used in Mandera civic awareness events,Inatumika katika matukio ya uhamasishaji wa raia Mandera,Yatumegete Mandera ekero giokomanyia abanto igoro yoboronge bwabo.,Itiyo kode e Mandera e weche mag ng'eyo oganda,Waxaa loo isticmaalaa munaasabadaha wacyiga bulshada ee Mandera
748,Education,Vaccinate students against measles 2020.,Wachanje wanafunzi dhidi ya surua 2020.,Chancha abana gotanga orwaye omwaka 2020.,Miyo jopuonjre chanjo mar midusi mar higa 2020.,Tallaalka ardayda ka dhanka ah suuxdinta 2020.
749,Education,Vaccinate your child before Jan 6 reopening – polio & measles jab mandatory!,Chanja mtoto wako kabla ya kufungua tena Januari 6 – chanjo ya polio na surua lazima!,"Chancha abana bao nyuma yechitariki 6 omotienyi omotangani chisukuru gachikoigora, Echancho eye neyarasima!",Mi nyathii chanjo ka pok Januar 6 ochakore kendo chanjo mar polio kod midusi en gima ochuno!,Ilmahaaga tallaal ka hor 6-da Janaayo dib u furitaanka tallaalka polio iyo cirrid waajib ah!
750,Education,"Vaccination cards mandatory at school gate Jan 6 – no jab, no entry!","Kadi za chanjo lazima kwenye lango la shule Januari 6 – hakuna chanjo, hakuna kuingia!","Ekadi yogochanchwa nerasima ase egeita giesukuru kogosoa chitariki 6 chimotienyi omotang'ani, onye tochanchiri goasoa tikoiyo!","Kad mag chanjo dwarore e dho ranga skul Jan 6 onge jab, onge donjo!",Kaararka tallaalka waa in lagu sameeyaa albaabka dugsiga 6-ka Janaayo.
751,Education,Vaccination mandatory for all boarding students before reopening.,Video zinaangazia sura za katiba,Ogochanchwa nerasima ase abana bonsi bechisukuru chiokarara ime nyuma chisukuru chitaraigorwa.,Yath mar thieth en gima ochuno ne jopuonjre duto ma somo e ute ma ji nindoe kapok ochak somo kendo.,Dhammaan ardayda iskuulka diyaaradaha waa in la tallaalaa ka hor inta aysan dib u furmin.
752,Education,Wash hands daily! Prevent cholera with proper hygiene.,Osha mikono kila siku! Zuia kipindupindu kwa usafi unaofaa.,Sibia amaboko ao kera rituko! Tanga kendwari yogosaa goetera abochenu bwao.,Luok lweteni pile ka pile! Ritri kik ibed gi tuwo mar kolera kuom rito ler.,Gacmaha maalin kasta maydh! Ka hortag cudurka kolera adoo adeegsanaya nadaafadda saxda ah.
753,Education,"Wash hands, stay safe! Use clean water to prevent cholera in schools.","Osha mikono, kaa salama! Tumia maji safi kuzuia kipindupindu shuleni.","Sibia amaboko ao, Kabe sarama! Tumia amache amarabu gotanga endwari yogosaa chisukuru.","Luok lweteni, bed motang'! Ti gi pi maler e geng'o kolera e skunde.","Gacmaha maydh, iska ilaali! Isticmaal biyo nadiif ah si looga hortago kolera dugsiyada."
754,Education,Welcome all! Enroll refugee students in local schools.,Karibu nyote! Waandikishe wanafunzi wakimbizi katika shule za mitaa.,Mwaariganiigwe mwensi! Anchera abana ba baria batamire chisegi korwa sobo gosoa chisukuru.,Warwakou uduto! Kony jopuonjre moringo thuchegi mondo odonj e skunde manie alworau.,"Dhammaantiin soo dhawow, ardayda qaxootiga ah ku qor dugsiyada deegaanka."
755,Education,Welcome refugees! Enroll refugee children in local schools.,Karibuni wakimbizi! Waandikishe watoto wakimbizi katika shule za mitaa.,Mwaariganiigwe abakimbisi! Anchera abana babakimbisi gosoa chisukuru.,Warwakuru joma oringo thuchegi! Kel nyithindo ma oringo thuchegi e skunde manie alworau.,Soo dhawow qaxootiga! Carruurta qaxootiga ah ku qor dugsiyada deegaanka.
756,Education,Work and learn! Join vocational training at Kiambu Industrial Park.,Fanya kazi na ujifunze! Jiunge na mafunzo ya ufundi katika Hifadhi ya Viwanda ya Kiambu.,Kora emeremo kogosoma! Batania ogosoma aaria Ekorechi ya Kiambu Industrial Park yobobundi Nochusi .,Ti matek mondo ipuonjri! Donj e tiegruok mar tije lwedo e Kiambu Industrial Park.,Shaqo iyo waxbarasho! Ku biir tababarka xirfadeed ee Beerta Warshadaha ee Kiambu.
757,Education,"Work together! Communities, ensure safe school environments.","Fanya kazi pamoja! Jamii, hakikisha mazingira salama ya shule.","Kora emeremo amo! Ebinyoro, rora nga okorika kwa abana gosoa chisukuru tikori namochando.","Tiuru kanyachiel! Dhano manie alworawa, onego obed gadier ni nitie kuonde ma ler e skul.","Iska shaqee! Bulshooyinka, hubinta jawi iskuul oo ammaan ah."
758,Education,Youâ€TMre not alone! Visit school counselors for support.,Hauko peke yako! Tembelea washauri wa shule kwa usaidizi.,Tori aye bweka! Rora omosebwa bwabana esukuru agokonye ebirengererio,Ok in kendi! Dhi ir jopuonj mondo okonyi.,"Kaligiin ma tihid, la tasho la-taliyayaasha dugsiga si aad u hesho taageero."
759,Education,Your vote counts! Learn about elections in school programs.,Kura yako inahesabika! Jifunze kuhusu uchaguzi katika programu za shule.,Ekura yao neyengencho! Soma igoro yemeroberio yobochori bweesukuru.,Dwoko mari ema konyo! Puonjri weche mang'eny e wi yiero mitimo e skul.,Codkaaga ayaa muhiim ah! Wax ka baro doorashooyinka barnaamijyada dugsiga.
760,Education,Youth Agenda challenges youth to create civic tech solutions.,Ajenda ya Vijana inawapa changamoto vijana kuunda suluhisho za teknolojia ya kiraia.,chenda yaasae yabasegetire koreta chisemi chiabo korengana nokagania kwebinyoro biabo.,Chenro mar rowere jiwo rowere mondo olos yore mag teknoloji ma konyo oganda.,Barnaamijka dhalinyarada wuxuu dhalinyarada ugu baaqayaa inay abuuraan xalal farsamo oo dadweyne ah.
761,Education,Youth voter registration drive: Visit your school for free ID processing.,Harakati ya usajili wa wapiga kura kwa vijana: Tembelea shule yako kwa usindikaji wa vitambulisho bila malipo.,Korika abasae buna abaaki chikura: Tarera esukuru yao ase okwerika konyora ekebande.,Chenro mar riwo rowere e yiero: Dhi e sikul maru mondo iyud thuolo mar yudo kad mar yiero maonge chudo.,Dhaqdhaqaaqa diiwaangelinta codbixiyayaasha dhalinyarada: Booqo dugsigaaga si aad u hesho aqoonsi lacag la'aan ah.
