PSA_Id,Domain,Class,English,Kiswahili,Dholuo,Fact_Source,Source
1271,Health,General,Officials are urging the public to consider routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) alongside distribution of long-lasting insecticidal mosquito nets to prevent malaria.,Maafisa wanahimiza umma kuzingatia chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) pamoja na usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria.,,h03+h05,grounded_generated
1272,Health,General,Officials are urging the public to consider routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) alongside HPV vaccination for adolescent girls to prevent cervical cancer.,Maafisa wanahimiza umma kuzingatia chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) pamoja na chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi.,,h03+h06,grounded_generated
1273,Health,General,Officials are urging the public to consider routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) alongside community health promoters (CHPs) offering household health education and referrals.,Maafisa wanahimiza umma kuzingatia chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) pamoja na wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.,,h03+h07,grounded_generated
1274,Health,General,Officials are urging the public to consider routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) alongside free HIV testing and counselling services at public health facilities.,Maafisa wanahimiza umma kuzingatia chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) pamoja na huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.,,h03+h08,grounded_generated
1275,Health,General,Officials are urging the public to consider routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) alongside screening for non-communicable diseases such as diabetes and hypertension.,Maafisa wanahimiza umma kuzingatia chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) pamoja na uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,,h03+h09,grounded_generated
1276,Health,General,Officials are urging the public to consider routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) alongside mental health support services under the national mental health action plan.,Maafisa wanahimiza umma kuzingatia chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) pamoja na huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,,h03+h10,grounded_generated
1277,Health,General,Officials are urging the public to consider routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) alongside child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Maafisa wanahimiza umma kuzingatia chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) pamoja na ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,,h03+h11,grounded_generated
1278,Health,General,Officials are urging the public to consider routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) alongside family planning services available free of charge at public clinics.,Maafisa wanahimiza umma kuzingatia chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) pamoja na huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,,h03+h12,grounded_generated
1279,Health,General,Officials are urging the public to consider free tuberculosis (TB) diagnosis and treatment at public health facilities alongside distribution of long-lasting insecticidal mosquito nets to prevent malaria.,Maafisa wanahimiza umma kuzingatia uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma pamoja na usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria.,,h04+h05,grounded_generated
1280,Health,General,Officials are urging the public to consider free tuberculosis (TB) diagnosis and treatment at public health facilities alongside HPV vaccination for adolescent girls to prevent cervical cancer.,Maafisa wanahimiza umma kuzingatia uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma pamoja na chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi.,,h04+h06,grounded_generated
1281,Health,General,Officials are urging the public to consider free tuberculosis (TB) diagnosis and treatment at public health facilities alongside community health promoters (CHPs) offering household health education and referrals.,Maafisa wanahimiza umma kuzingatia uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma pamoja na wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.,,h04+h07,grounded_generated
1282,Health,General,Officials are urging the public to consider free tuberculosis (TB) diagnosis and treatment at public health facilities alongside free HIV testing and counselling services at public health facilities.,Maafisa wanahimiza umma kuzingatia uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma pamoja na huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.,,h04+h08,grounded_generated
1283,Health,General,Officials are urging the public to consider free tuberculosis (TB) diagnosis and treatment at public health facilities alongside screening for non-communicable diseases such as diabetes and hypertension.,Maafisa wanahimiza umma kuzingatia uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma pamoja na uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,,h04+h09,grounded_generated
1284,Health,General,Officials are urging the public to consider free tuberculosis (TB) diagnosis and treatment at public health facilities alongside mental health support services under the national mental health action plan.,Maafisa wanahimiza umma kuzingatia uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma pamoja na huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,,h04+h10,grounded_generated
1285,Health,General,Officials are urging the public to consider free tuberculosis (TB) diagnosis and treatment at public health facilities alongside child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Maafisa wanahimiza umma kuzingatia uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma pamoja na ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,,h04+h11,grounded_generated
1286,Health,General,Officials are urging the public to consider free tuberculosis (TB) diagnosis and treatment at public health facilities alongside family planning services available free of charge at public clinics.,Maafisa wanahimiza umma kuzingatia uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma pamoja na huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,,h04+h12,grounded_generated
1287,Health,General,Officials are urging the public to consider distribution of long-lasting insecticidal mosquito nets to prevent malaria alongside HPV vaccination for adolescent girls to prevent cervical cancer.,Maafisa wanahimiza umma kuzingatia usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria pamoja na chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi.,,h05+h06,grounded_generated
1288,Health,General,Officials are urging the public to consider distribution of long-lasting insecticidal mosquito nets to prevent malaria alongside community health promoters (CHPs) offering household health education and referrals.,Maafisa wanahimiza umma kuzingatia usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria pamoja na wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.,,h05+h07,grounded_generated
1289,Health,General,Officials are urging the public to consider distribution of long-lasting insecticidal mosquito nets to prevent malaria alongside free HIV testing and counselling services at public health facilities.,Maafisa wanahimiza umma kuzingatia usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria pamoja na huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.,,h05+h08,grounded_generated
1290,Health,General,Officials are urging the public to consider distribution of long-lasting insecticidal mosquito nets to prevent malaria alongside screening for non-communicable diseases such as diabetes and hypertension.,Maafisa wanahimiza umma kuzingatia usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria pamoja na uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,,h05+h09,grounded_generated
1291,Health,General,Officials are urging the public to consider distribution of long-lasting insecticidal mosquito nets to prevent malaria alongside mental health support services under the national mental health action plan.,Maafisa wanahimiza umma kuzingatia usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria pamoja na huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,,h05+h10,grounded_generated
1292,Health,General,Officials are urging the public to consider distribution of long-lasting insecticidal mosquito nets to prevent malaria alongside child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Maafisa wanahimiza umma kuzingatia usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria pamoja na ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,,h05+h11,grounded_generated
1293,Health,General,Officials are urging the public to consider distribution of long-lasting insecticidal mosquito nets to prevent malaria alongside family planning services available free of charge at public clinics.,Maafisa wanahimiza umma kuzingatia usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria pamoja na huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,,h05+h12,grounded_generated
1294,Health,General,Officials are urging the public to consider HPV vaccination for adolescent girls to prevent cervical cancer alongside community health promoters (CHPs) offering household health education and referrals.,Maafisa wanahimiza umma kuzingatia chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi pamoja na wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.,,h06+h07,grounded_generated
1295,Health,General,Officials are urging the public to consider HPV vaccination for adolescent girls to prevent cervical cancer alongside free HIV testing and counselling services at public health facilities.,Maafisa wanahimiza umma kuzingatia chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi pamoja na huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.,,h06+h08,grounded_generated
1296,Health,General,Officials are urging the public to consider HPV vaccination for adolescent girls to prevent cervical cancer alongside screening for non-communicable diseases such as diabetes and hypertension.,Maafisa wanahimiza umma kuzingatia chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi pamoja na uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,,h06+h09,grounded_generated
1297,Health,General,Officials are urging the public to consider HPV vaccination for adolescent girls to prevent cervical cancer alongside mental health support services under the national mental health action plan.,Maafisa wanahimiza umma kuzingatia chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi pamoja na huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,,h06+h10,grounded_generated
1298,Health,General,Officials are urging the public to consider HPV vaccination for adolescent girls to prevent cervical cancer alongside child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Maafisa wanahimiza umma kuzingatia chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi pamoja na ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,,h06+h11,grounded_generated
1299,Health,General,Officials are urging the public to consider HPV vaccination for adolescent girls to prevent cervical cancer alongside family planning services available free of charge at public clinics.,Maafisa wanahimiza umma kuzingatia chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi pamoja na huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,,h06+h12,grounded_generated
1300,Health,General,Officials are urging the public to consider community health promoters (CHPs) offering household health education and referrals alongside free HIV testing and counselling services at public health facilities.,Maafisa wanahimiza umma kuzingatia wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani pamoja na huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.,,h07+h08,grounded_generated
1301,Health,General,Officials are urging the public to consider community health promoters (CHPs) offering household health education and referrals alongside screening for non-communicable diseases such as diabetes and hypertension.,Maafisa wanahimiza umma kuzingatia wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani pamoja na uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,,h07+h09,grounded_generated
1302,Health,General,Officials are urging the public to consider community health promoters (CHPs) offering household health education and referrals alongside mental health support services under the national mental health action plan.,Maafisa wanahimiza umma kuzingatia wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani pamoja na huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,,h07+h10,grounded_generated
1303,Health,General,Officials are urging the public to consider community health promoters (CHPs) offering household health education and referrals alongside child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Maafisa wanahimiza umma kuzingatia wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani pamoja na ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,,h07+h11,grounded_generated
1304,Health,General,Officials are urging the public to consider community health promoters (CHPs) offering household health education and referrals alongside family planning services available free of charge at public clinics.,Maafisa wanahimiza umma kuzingatia wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani pamoja na huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,,h07+h12,grounded_generated
1305,Health,General,Officials are urging the public to consider free HIV testing and counselling services at public health facilities alongside screening for non-communicable diseases such as diabetes and hypertension.,Maafisa wanahimiza umma kuzingatia huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma pamoja na uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,,h08+h09,grounded_generated
1306,Health,General,Officials are urging the public to consider free HIV testing and counselling services at public health facilities alongside mental health support services under the national mental health action plan.,Maafisa wanahimiza umma kuzingatia huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma pamoja na huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,,h08+h10,grounded_generated
1307,Health,General,Officials are urging the public to consider free HIV testing and counselling services at public health facilities alongside child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Maafisa wanahimiza umma kuzingatia huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma pamoja na ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,,h08+h11,grounded_generated
1308,Health,General,Officials are urging the public to consider free HIV testing and counselling services at public health facilities alongside family planning services available free of charge at public clinics.,Maafisa wanahimiza umma kuzingatia huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma pamoja na huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,,h08+h12,grounded_generated
1309,Health,General,Officials are urging the public to consider screening for non-communicable diseases such as diabetes and hypertension alongside mental health support services under the national mental health action plan.,Maafisa wanahimiza umma kuzingatia uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu pamoja na huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,,h09+h10,grounded_generated
1310,Health,General,Officials are urging the public to consider screening for non-communicable diseases such as diabetes and hypertension alongside child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Maafisa wanahimiza umma kuzingatia uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu pamoja na ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,,h09+h11,grounded_generated
1311,Health,General,Officials are urging the public to consider screening for non-communicable diseases such as diabetes and hypertension alongside family planning services available free of charge at public clinics.,Maafisa wanahimiza umma kuzingatia uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu pamoja na huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,,h09+h12,grounded_generated
1312,Health,General,Officials are urging the public to consider mental health support services under the national mental health action plan alongside child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Maafisa wanahimiza umma kuzingatia huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili pamoja na ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,,h10+h11,grounded_generated
1313,Health,General,Officials are urging the public to consider mental health support services under the national mental health action plan alongside family planning services available free of charge at public clinics.,Maafisa wanahimiza umma kuzingatia huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili pamoja na huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,,h10+h12,grounded_generated
1314,Health,General,Officials are urging the public to consider child growth monitoring and Vitamin A supplementation during Malezi Bora week alongside family planning services available free of charge at public clinics.,Maafisa wanahimiza umma kuzingatia ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora pamoja na huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,,h11+h12,grounded_generated
1315,Health,General,Residents attending local meetings will hear updates on the Social Health Authority (SHA) registration for universal health coverage and the Linda Mama programme providing free maternity care at public health facilities.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote na mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma.,,h01+h02,grounded_generated
1316,Health,General,Residents attending local meetings will hear updates on the Social Health Authority (SHA) registration for universal health coverage and routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI).,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote na chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI).,,h01+h03,grounded_generated
1317,Health,General,Residents attending local meetings will hear updates on the Social Health Authority (SHA) registration for universal health coverage and free tuberculosis (TB) diagnosis and treatment at public health facilities.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote na uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma.,,h01+h04,grounded_generated
1318,Health,General,Residents attending local meetings will hear updates on the Social Health Authority (SHA) registration for universal health coverage and distribution of long-lasting insecticidal mosquito nets to prevent malaria.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote na usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria.,,h01+h05,grounded_generated
1319,Health,General,Residents attending local meetings will hear updates on the Social Health Authority (SHA) registration for universal health coverage and HPV vaccination for adolescent girls to prevent cervical cancer.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote na chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi.,,h01+h06,grounded_generated
1320,Health,General,Residents attending local meetings will hear updates on the Social Health Authority (SHA) registration for universal health coverage and community health promoters (CHPs) offering household health education and referrals.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote na wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.,,h01+h07,grounded_generated
1321,Health,General,Residents attending local meetings will hear updates on the Social Health Authority (SHA) registration for universal health coverage and free HIV testing and counselling services at public health facilities.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote na huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.,,h01+h08,grounded_generated
1322,Health,General,Residents attending local meetings will hear updates on the Social Health Authority (SHA) registration for universal health coverage and screening for non-communicable diseases such as diabetes and hypertension.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote na uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,,h01+h09,grounded_generated
1323,Health,General,Residents attending local meetings will hear updates on the Social Health Authority (SHA) registration for universal health coverage and mental health support services under the national mental health action plan.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote na huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,,h01+h10,grounded_generated
1324,Health,General,Residents attending local meetings will hear updates on the Social Health Authority (SHA) registration for universal health coverage and child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote na ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,,h01+h11,grounded_generated
1325,Health,General,Residents attending local meetings will hear updates on the Social Health Authority (SHA) registration for universal health coverage and family planning services available free of charge at public clinics.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote na huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,,h01+h12,grounded_generated
1326,Health,General,Residents attending local meetings will hear updates on the Linda Mama programme providing free maternity care at public health facilities and routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI).,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma na chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI).,,h02+h03,grounded_generated
1327,Health,General,Residents attending local meetings will hear updates on the Linda Mama programme providing free maternity care at public health facilities and free tuberculosis (TB) diagnosis and treatment at public health facilities.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma na uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma.,,h02+h04,grounded_generated
1328,Health,General,Residents attending local meetings will hear updates on the Linda Mama programme providing free maternity care at public health facilities and distribution of long-lasting insecticidal mosquito nets to prevent malaria.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma na usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria.,,h02+h05,grounded_generated
1329,Health,General,Residents attending local meetings will hear updates on the Linda Mama programme providing free maternity care at public health facilities and HPV vaccination for adolescent girls to prevent cervical cancer.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma na chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi.,,h02+h06,grounded_generated
1330,Health,General,Residents attending local meetings will hear updates on the Linda Mama programme providing free maternity care at public health facilities and community health promoters (CHPs) offering household health education and referrals.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma na wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.,,h02+h07,grounded_generated
1331,Health,General,Residents attending local meetings will hear updates on the Linda Mama programme providing free maternity care at public health facilities and free HIV testing and counselling services at public health facilities.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma na huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.,,h02+h08,grounded_generated
1332,Health,General,Residents attending local meetings will hear updates on the Linda Mama programme providing free maternity care at public health facilities and screening for non-communicable diseases such as diabetes and hypertension.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma na uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,,h02+h09,grounded_generated
1333,Health,General,Residents attending local meetings will hear updates on the Linda Mama programme providing free maternity care at public health facilities and mental health support services under the national mental health action plan.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma na huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,,h02+h10,grounded_generated
1334,Health,General,Residents attending local meetings will hear updates on the Linda Mama programme providing free maternity care at public health facilities and child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma na ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,,h02+h11,grounded_generated
1335,Health,General,Residents attending local meetings will hear updates on the Linda Mama programme providing free maternity care at public health facilities and family planning services available free of charge at public clinics.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma na huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,,h02+h12,grounded_generated
1336,Health,General,Residents attending local meetings will hear updates on routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) and free tuberculosis (TB) diagnosis and treatment at public health facilities.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) na uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma.,,h03+h04,grounded_generated
1337,Health,General,Residents attending local meetings will hear updates on routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) and distribution of long-lasting insecticidal mosquito nets to prevent malaria.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) na usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria.,,h03+h05,grounded_generated
1338,Health,General,Residents attending local meetings will hear updates on routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) and HPV vaccination for adolescent girls to prevent cervical cancer.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) na chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi.,,h03+h06,grounded_generated
1339,Health,General,Residents attending local meetings will hear updates on routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) and community health promoters (CHPs) offering household health education and referrals.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) na wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.,,h03+h07,grounded_generated
1340,Health,General,Residents attending local meetings will hear updates on routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) and free HIV testing and counselling services at public health facilities.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) na huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.,,h03+h08,grounded_generated
1341,Health,General,Residents attending local meetings will hear updates on routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) and screening for non-communicable diseases such as diabetes and hypertension.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) na uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,,h03+h09,grounded_generated
1342,Health,General,Residents attending local meetings will hear updates on routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) and mental health support services under the national mental health action plan.,Wakazi wanaohudhuria mikutano ya eneo watasikia taarifa kuhusu chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) na huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,,h03+h10,grounded_generated
