PSA_Id,Domain,Class,English,Kiswahili,Dholuo,Source,date_collected,Metadata
1642,Security & Safety,General,"Companies should have continuity plans, backup generators, and employee safety training for emergencies.","Makampuni yanapaswa kuwa na mipango ya mwendelezo, jenereta mbadala, na mafunzo ya usalama wa wafanyakazi kwa dharura.","Kuonde ohala onego obed gi chenro mag dhi nyime, gi masinde mag loso gik moko, kendo tiego jotich e weche mag ritruok e kinde mag chandruok.",Original dataset,,
1643,Security & Safety,Hygiene,"Internally Displaced Persons (IDPs) are vulnerable to diseases. Ensure clean water, sanitation, and medical supplies in camps.","Watu Waliohamishwa Ndani ya Nchi (IDPs) wako katika hatari ya kupata magonjwa. Hakikisha maji safi, usafi wa mazingira, na vifaa vya matibabu katika kambi.",Joma odak e kuonde jot (IDPs) nyalo yudo tuoche mapiyo. Rituru ler mar pi kod alwora kendo chiwuru yedhe,Original dataset,,
1644,Security & Safety,General,Improper generator use causes carbon monoxide poisoning. Operate generators outdoors and away from windows.,Matumizi yasiyofaa ya jenereta husababisha sumu ya monoksidi kaboni. Huendesha jenereta nje na mbali na madirisha.,Tiyo gi generator e yo maok owinjore nyalo kaw ngima ng'ato kluwore gi carbon monoxide. Ti gi generator e laro mabor gi dirishni mag ot,Original dataset,,
1645,Security & Safety,General,Trained volunteers assist in rescue operations. Register with Kenya Red Cross or local disaster committees.,Wajitolea waliofunzwa husaidia katika shughuli za uokoaji. Jisajili na kamati za Msalaba Mwekundu wa Kenya au kamati za maafa za eneo husika.,Joma otiegore konyo e tije mag reso ji. Ndikri gi Kenya Red Cross kata migepe mar reso joma masira omako,Original dataset,,
1646,Security & Safety,General,Children are highly vulnerable. Ensure they know emergency contacts and have identification tags in crowded shelters.,Watoto wako katika hatari kubwa. Hakikisha wanawajua watu wa dharura na wana vitambulisho katika makazi yaliyojaa watu.,"Nyithindo nyalo bedo joma yom yom ahinya, omiyo nyaka ine ni ging'eyo joma ginyalo tudorego e saa masira, kendo ni gin gi kalatese ma nyiso kuma giwuoke",Original dataset,,
1647,Security & Safety,Flood Safety,"After floods, disinfect homes to prevent mold and diseases. Wear protective gear during cleanup.","Baada ya mafuriko, safisha nyumba ili kuzuia ukungu na magonjwa. Vaa vifaa vya kujikinga wakati wa usafi.","Bang' koth, go udi yedhe mageng'o tuoche kiruako jwala e lweti",Original dataset,,
1648,Security & Safety,General,"During prolonged disasters, preserve food by drying, salting, or using airtight containers to avoid spoilage.","Wakati wa majanga ya muda mrefu, hifadhi chakula kwa kukausha, kutia chumvi, au kutumia vyombo visivyopitisha hewa ili kuepuka kuharibika.","Sama masira moro otimore kuom kinde malach, ket chiemo e bwo yiengni ma ok nyal kethore.",Original dataset,,
1649,Security & Safety,General,Rumors worsen panic. Rely on official updates from government agencies and verified media outlets.,Uvumi unazidisha hofu. Tegemea masasisho rasmi kutoka kwa mashirika ya serikali na vyombo vya habari vilivyothibitishwa.,"Weche mag miriambo miyo ji bedo gi luoro ahinya, kendo mano miyo giweyo weche ma sirkal wacho kod weche ma gipuonjore e wi weche ma timore e piny.",Original dataset,,
1650,Security & Safety,Flood Safety,Snakes seek shelter in homes during floods. Use torches at night and avoid walking barefoot.,Nyoka hutafuta makazi majumbani wakati wa mafuriko. Tumia mienge usiku na epuka kutembea bila viatu.,"Sama pi opong'o piny, thuonde manyo kar buok e utegi, giti gi mach gotieno, kendo kik giwuothi gi tiendgi nono.",Original dataset,,
1651,Security & Safety,Flood Safety,"Insurance mitigates financial losses from floods, fires, or storms. Explore affordable micro-insurance options.","Bima hupunguza hasara za kifedha kutokana na mafuriko, moto, au dhoruba. Gundua chaguzi za bima ndogo za bei nafuu.","Insuarans konyo e chulo gik makelo hinyruok nikech pi, mach, kata yamo mager. Ndikri kar insurance mondo iyud kony e saa masira",Original dataset,,
1652,Security & Safety,General,Vulnerable families can access government cash aid during disasters via mobile money platforms.,Familia zilizo katika mazingira magumu zinaweza kupata msaada wa pesa taslimu wa serikali wakati wa majanga kupitia mifumo ya pesa za simu.,Joot ma nigi chandruok nyalo yudo kony ma sirkal chiwo e kinde masiche kokalo kuom chenro mag pesa mitimo gi simo.,Original dataset,,
1653,Security & Safety,General,Avoid rebuilding in landslide-prone areas. Government offers alternative land for affected families.,Epuka kujenga upya katika maeneo yanayokumbwa na maporomoko ya ardhi. Serikali inatoa ardhi mbadala kwa familia zilizoathiriwa.,"Kik uger kuonde ma lowo olwar ahinya, nikech sirkal chiwo lowo ma nyalo konyo joodgi ma masira mar yiengni omako.",Original dataset,,
1654,Security & Safety,General,Free fire safety training is available for communities to prevent and respond to fire outbreaks.,Mafunzo ya usalama wa moto bila malipo yanapatikana kwa jamii ili kuzuia na kukabiliana na milipuko ya moto.,Tiegruok ma onge chudo mar mach yudore mondo omi oganda ogeng'o kendo odwokgi e yo maber.,Original dataset,,
1655,Security & Safety,Flood Safety,Water conducts electricity. Avoid touching power lines or electrical appliances during floods.,Maji hupitisha umeme. Epuka kugusa nyaya za umeme au vifaa vya umeme wakati wa mafuriko.,"Pi miyo ga sitima muoch, omiyo kik imul sitima kata masinde mamoko mag sitima sama pi opong'o piny.",Original dataset,,
1656,Security & Safety,Flood Safety,Farmers should adopt drought-resistant crops and water conservation techniques to mitigate climate shocks.,Wakulima wanapaswa kutumia mazao yanayostahimili ukame na mbinu za kuhifadhi maji ili kupunguza mishtuko ya hali ya hewa.,jopur onego opidh yiende ma ok oluoro oro kendo giti gi yore mag rito pi mondo kik giwit yuto e saa masira,Original dataset,,
1657,Security & Safety,General,Learn to build temporary shelters using locally available materials for displaced families.,Jifunze kujenga makazi ya muda kwa kutumia vifaa vinavyopatikana katika eneo husika kwa ajili ya familia zilizopoteza makazi.,"Puonjri gero ute jot ma ji dakie ndalo masir, kitiyo gi gik ma yudore e alwora ma gidakie mondo okonygo joma masira oyudo",Original dataset,,
1658,Security & Safety,General,Stampedes worsen disasters. Follow authorities' instructions and avoid panic during mass evacuations.,Kukanyagana huzidisha majanga. Fuata maagizo ya mamlaka na epuka hofu wakati wa uhamishaji wa watu wengi.,Luw chike ma sirkal chiko kendo kik ibed maluor sama itimo chenro mar golo ji e kuonde masira,Original dataset,,
1659,Security & Safety,General,Learn to recognize trauma symptoms and provide psychological first aid to disaster survivors.,Jifunze kutambua dalili za kiwewe na kutoa huduma ya kwanza ya kisaikolojia kwa manusura wa majanga.,Puonjri fwenyo chal mar tuwo moro ma ne oyudo ng'ato ka en e masira kendo ikony joma oyudo masira.,Original dataset,,
1660,Security & Safety,General,Ensure LPG cylinders are stored in well-ventilated areas and check for leaks regularly.,Hakikisha mitungi ya LPG imehifadhiwa katika maeneo yenye hewa ya kutosha na angalia uvujaji mara kwa mara.,Keturu osikni mag LPG e kuonde ma yamo nitie maber kendo ng'iuru machuer.,Original dataset,,
1661,Security & Safety,General,Older adults need tailored evacuation plans. Identify caregivers and accessible shelters in advance.,Wazee wanahitaji mipango maalum ya uokoaji. Tambua walezi na makazi yanayoweza kufikiwa mapema.,"Joma hikgi ng'eny onego otim chenro mar wuok e utegi, kendo onego ging'e joma rito nyithindgi kod kuonde dak ma ginyalo dhiye chon.",Original dataset,,
1662,Security & Safety,General,"Village loudspeakers, SMS alerts, and radio broadcasts help disseminate disaster warnings quickly.","Vipaza sauti vya kijijini, arifa za SMS, na matangazo ya redio husaidia kusambaza maonyo ya maafa haraka.","Auja, weche ma ji oroga kokalo kuom SMS, kod nyakalondo konyo e lando siem mag masiche mapiyo.",Original dataset,,
1663,Security & Safety,General,Chemicals and fuels should be stored away from homes to prevent fires and environmental contamination.,Kemikali na mafuta yanapaswa kuhifadhiwa mbali na nyumba ili kuzuia moto na uchafuzi wa mazingira.,"Mondo omi mach kik chakre kendo keth alwora, gik makelo chuk kod petrol onego okan mabor gi udi.",Original dataset,,
1664,Security & Safety,General,Lost family members can be traced through Kenya Red Cross and social media platforms.,Wanafamilia waliopotea wanaweza kufuatiliwa kupitia majukwaa ya Msalaba Mwekundu wa Kenya na mitandao ya kijamii.,Joma olal bang' masira inyalo yud kuonde ma gintie kokalo kuom riwruok mar Kenya Red Cross kod social media.,Original dataset,,
1665,Security & Safety,General,Stagnant water breeds mosquitoes. Use bed nets and report mosquito infestations to health authorities.,Maji yaliyotuama huzaa mbu. Tumia vyandarua na uripoti maambukizi ya mbu kwa mamlaka za afya.,"Pi ma ok mol miyo suna nywolore, omiyo ti gi net mag nindo kendo inyis jotelo mag thieth ni suna ngeny e aluora ma intie",Original dataset,,
1666,Security & Safety,General,Communities should invest in boreholes and rainwater harvesting to ensure water access during droughts.,Jamii zinapaswa kuwekeza katika visima na uvunaji wa maji ya mvua ili kuhakikisha upatikanaji wa maji wakati wa ukame.,Ji onego onyiew gige ywayo kod choko pi koth mondo omi ji obed gi pi e ndalo kech gi oro,Original dataset,,
1667,Security & Safety,General,Kenya's policy framework ensures coordinated disaster management. Understand your rights and government obligations.,Mfumo wa sera wa Kenya unahakikisha usimamizi wa maafa ulioratibiwa. Elewa haki zako na majukumu ya serikali.,Chenro mar Kenya mar timo lokruok e weche mag siasa miyo ji bedo gi chenro maber mar rito masiche.,Original dataset,,
1668,Security & Safety,Gender-Based Violence,The national helpline 1195 is available at all times to provide immediate assistance to survivors of sexual and gender-based violence.,Simu ya usaidizi ya kitaifa 1195 inapatikana wakati wote ili kutoa msaada wa haraka kwa manusura wa unyanyasaji wa kingono na kijinsia.,"namba sime milandoe masich dhaw e kind dichwo gi dhako, en namba 1195 ma yudore e piny mangima.",Original dataset,,
1669,Security & Safety,General,Intimate partner violence often escalates gradually. Early recognition and training for frontline professionals support prevention and safe referrals.,Vurugu za wapenzi wa karibu mara nyingi huongezeka polepole. Utambuzi wa mapema na mafunzo kwa wataalamu wa mstari wa mbele husaidia kuzuia na rufaa salama.,Kinde mang'eny dhap dhako gi dichuo modak kanyakla medo bedo marach mosmos. Omiyo chop lendo mag dhao e migepe mohangi ne jopiny,Original dataset,,
1670,Security & Safety,Gender-Based Violence,"Prompt reporting of gender-based violence protects survivors and preserves evidence. Specialized Gender Desks handle cases sensitively and survivors have rights to medical care, protection, and legal support.","Kuripoti haraka kuhusu ukatili wa kijinsia huwalinda waathiriwa na kuhifadhi ushahidi. Madawati Maalum ya Jinsia hushughulikia kesi kwa usikivu na waathiriwa wana haki ya kupata huduma ya matibabu, ulinzi, na usaidizi wa kisheria.","Ka ng'ato olando mapiyo weche mag mahundu ekind dichwo gi dhako, mano nyalo miyo orit joma notony. Sirikal miyo joma otony rit e buo chik kod ratiro mar yedhe",Original dataset,,
1671,Security & Safety,Gender-Based Violence,All public health facilities in Kenya offer free medical services for gender-based violence survivors.,Vituo vyote vya afya vya umma nchini Kenya hutoa huduma za matibabu bila malipo kwa waathiriwa wa unyanyasaji wa kijinsia.,Ute thieth duto mag Kenya chiwo thieth maonge chudo ne joma osetho nikech timbe gero.,Original dataset,,
1672,Security & Safety,General,Personal safety plans help individuals prepare for dangerous situations by identifying safe locations and strategies for protection.,Mipango ya usalama wa kibinafsi huwasaidia watu kujiandaa kwa hali hatari kwa kutambua maeneo salama na mikakati ya ulinzi.,Chenro mag rito ngima konyo ng'ato mondo oikre ne chal matek kuom fwenyo kuonde ma ginyalo dakie kendo tiyo gi yore ma ginyalo ritogo ng'ato.,Original dataset,,
1673,Security & Safety,General,"Community support networks assist survivors by providing safe spaces, trained volunteers, empowerment programs, and coordinated referrals while prioritizing safety and confidentiality.","Mitandao ya usaidizi wa jamii huwasaidia waathirika kwa kutoa nafasi salama, watu wa kujitolea waliofunzwa, programu za uwezeshaji, na marejeleo yaliyoratibiwa huku ikipa kipaumbele usalama na usiri.","Oganda ma konyo ji konyo joma otony kuom chiwo kuonde ma ginyalo dakie, joma otiego, koda chenro mag konyo ji mondo obed gi teko, kendo gikonyogi e yo mochanore ka giketo weche motudore gi ritruok kod weche mopondo obed motelo.",Original dataset,,
1674,Security & Safety,General,"Workplace policies and training prevent sexual harassment by establishing clear definitions, reporting channels, investigations, and support services based on national legal frameworks.","Sera na mafunzo mahali pa kazi huzuia unyanyasaji wa kijinsia kwa kuweka ufafanuzi ulio wazi, njia za kuripoti, uchunguzi, na huduma za usaidizi kulingana na mifumo ya kisheria ya kitaifa.","Puonj migolo kuonde tich kod tiegruok mag geng'o timbe mag nindruok, yore mag chiwo ripot, timo nonro, kod konyo ji oketi kaluwore gi chike mag piny.",Original dataset,,
1675,Security & Safety,Child Protection,Child protection systems must prevent sexual abuse and exploitation and provide full support for affected children.,Mifumo ya ulinzi wa watoto lazima izuie unyanyasaji wa kingono na unyonyaji na kutoa msaada kamili kwa watoto walioathiriwa.,Migepe kod dwonde mag rito nyithindo nyaka geng' timbe mag nindruok kendo nyaka giriw lwedo mar konyo nyithindo ma chandore.,Original dataset,,
1676,Security & Safety,General,"Healthcare workers require specialized training in trauma-informed care, evidence collection, mandatory reporting, and coordinated referrals for survivors.","Wafanyakazi wa afya wanahitaji mafunzo maalum katika utunzaji unaozingatia majeraha, ukusanyaji wa ushahidi, kuripoti kwa lazima, na rufaa zilizoratibiwa kwa waathirika.","Joma tiyo e weche thieth dwaro tiegruok makende e weche mag rito joma oyudo masira, choko gik manyiso ni githo, chiwo ripot e yo ma ratiro, kod chiwo paro e yo mochanore ne joma otony.",Original dataset,,
1677,Security & Safety,General,Safe houses and shelters offer secure temporary accommodation for survivors and their children.,Nyumba na makazi salama hutoa malazi salama ya muda kwa manusura na watoto wao.,Ute jot miyo jomotony kuom mahundu matimore e kind dichuo gi chiege kar dak,Original dataset,,
1678,Security & Safety,General,"Digital spaces can expose individuals to online abuse. Laws criminalize cyberviolence and support services help survivors secure devices, report incidents, and remove harmful content.","Nafasi za kidijitali zinaweza kuwaweka watu katika hatari ya unyanyasaji mtandaoni. Sheria zinaharamisha vurugu za mtandaoni na huduma za usaidizi huwasaidia walionusurika kupata vifaa salama, kuripoti matukio, na kuondoa maudhui hatari.",Omiyo oseket chike mag rito twak ewi mbui,Original dataset,,
1679,Security & Safety,General,Engaging men and boys in prevention programs promotes healthy relationships and challenges harmful gender norms.,Kuwashirikisha wanaume na wavulana katika programu za kuzuia maambukizi huendeleza mahusiano yenye afya na hupinga kanuni hatari za kijinsia.,Riwruok mar chwo gi yawuowi e chenro mag geng'o chwanyruok  e kind mon gi chuo miyo winjruok bedo maber kendo kelo pek e chike motelone kwe e kind chwo gi mon.,Original dataset,,
1680,Security & Safety,General,Legal aid services ensure survivors access justice through free or subsidized representation.,Huduma za usaidizi wa kisheria zinahakikisha walionusurika wanapata haki kupitia uwakilishi huru au ruzuku.,Kony mar ratiro miyo wa thuolo mar yalo e kot.,Original dataset,,
1681,Security & Safety,General,"Educational institutions must implement prevention programs that address harassment, assault, and exploitation in learning environments.","Taasisi za elimu lazima zitekeleze programu za kuzuia zinazoshughulikia unyanyasaji, unyanyasaji, na unyonyaji katika mazingira ya kujifunzia.","Skunde mag somo nyaka ket chenro mag geng'o chandruok, timbe mahundu, kod tiyo gi mwandu marach e kuonde tiegruok.",Original dataset,,
1682,Security & Safety,General,Economic abuse limits financial independence. Financial institutions should recognize warning signs and support affected customers.,Unyanyasaji wa kiuchumi hupunguza uhuru wa kifedha. Taasisi za fedha zinapaswa kutambua ishara za onyo na kuwasaidia wateja walioathiriwa.,Tiyo gi mwandu marach dwoko chien chenro mag yuto,Original dataset,,
1683,Security & Safety,General,Human trafficking for sexual exploitation is a serious crime. National laws provide strong penalties and survivor protections.,Usafirishaji haramu wa binadamu kwa ajili ya unyonyaji wa kingono ni uhalifu mkubwa. Sheria za kitaifa hutoa adhabu kali na ulinzi kwa walionusurika.,Goyo ohand dhano mondo oti kodgi e timbe nindruok en ketho maduong'.  Chiike nitie mag geng'o ohalago,Original dataset,,
1684,Security & Safety,General,Risk assessment tools help identify individuals at high risk of experiencing or perpetrating violence to enable targeted interventions.,Zana za tathmini ya hatari husaidia kutambua watu walio katika hatari kubwa ya kupitia au kufanya vurugu ili kuwezesha hatua zinazolengwa.,nonro mag chal mar chandruok konyo e fwenyo joma kale mahundu kod ywarruok mondo omi okonygi yudo kony mowinjore.,Original dataset,,
1685,Security & Safety,General,"Survivor-centered approaches uphold safety, dignity, and autonomy in all decisions about reporting and service use.","Mbinu zinazozingatia walionusurika zinaunga mkono usalama, heshima, na uhuru katika maamuzi yote kuhusu kuripoti na matumizi ya huduma.","Yore mag konyo joma otony e masiche, miyo gibedo gi ritruok, luor, kod thuolo mar timo yiero e wi weche duto motudore gi chiwo ripot ",Original dataset,,
1686,Security & Safety,Gender-Based Violence,Emergency settings heighten gender-based violence risks and require specialized prevention and response planning.,Mipangilio ya dharura huongeza hatari za unyanyasaji wa kijinsia na inahitaji mipango maalum ya kuzuia na kukabiliana na hali hiyo.,masira nyalo miyo timbe mahundu omedre kendo mano dwaro ni migepe mag arita kwe otim chenro mar geng'o chandruok.,Original dataset,,
1687,Security & Safety,General,Reliable data systems track violence trends and service use to inform evidence-based policies and programs.,Mifumo ya data inayoaminika hufuatilia mitindo ya vurugu na matumizi ya huduma ili kutoa taarifa kuhusu sera na programu zinazotegemea ushahidi.,Sistem mag mag  fwambo gi keyo nyiso kaka timbe gero timore kod chiwo ripot e wi chike koda program mageng'o mahundu gi,Original dataset,,
1688,Security & Safety,Gender-Based Violence,Strategic communication campaigns promote non-violent norms and responsible media coverage of gender-based violence.,Kampeni za mawasiliano ya kimkakati zinakuza kanuni zisizo za vurugu na uandishi wa habari unaowajibika kuhusu vurugu zinazotokana na jinsia kwenye vyombo vya habari.,Chenro mag tieko ywarruok e kind mon gi chuo  onego osir mbaka e wi wechegi,Original dataset,,
1689,Security & Safety,General,Persons with disabilities face higher risks of violence. Services must meet accessibility needs and provide inclusive support.,Watu wenye ulemavu wanakabiliwa na hatari kubwa zaidi za vurugu. Huduma lazima zikidhi mahitaji ya ufikiaji na kutoa usaidizi jumuishi.,Joma odak kod ng'ol romo gi pek mang'eny e geng'o ywarruok. Omiyo chike nyaka bedi mapuodho ratiro gi,Original dataset,,
1690,Security & Safety,General,Refugee and displaced populations require protection measures and community involvement to reduce violence risks.,Wakimbizi na watu waliohamishwa makazi yao wanahitaji hatua za ulinzi na ushirikishwaji wa jamii ili kupunguza hatari za vurugu.,Joma oringo thuchegi onego omi arita kue margi kuonde mag gidake,Original dataset,,
1691,Security & Safety,Gender-Based Violence,Correctional facilities must prevent sexual violence and respond effectively to any incidents.,Vituo vya kurekebisha tabia lazima vizuie unyanyasaji wa kijinsia na vishughulikie kwa ufanisi matukio yoyote.,Ute mag twech nyaka geng' timbe mahundu mag nindruok,Original dataset,,
1692,Security & Safety,General,Technology-facilitated abuse requires digital security training and documentation skills for affected individuals.,Matumizi mabaya yanayowezeshwa na teknolojia yanahitaji mafunzo ya usalama wa kidijitali na ujuzi wa uandishi wa nyaraka kwa watu walioathiriwa.,Tiego joma tiyo gi mbui en yo maber mar geng'o ywarruok kata dhao manyalowuok kuonde gi,Original dataset,,
1693,Security & Safety,General,Community-based prevention programs mobilize local leaders and groups to create safer environments.,Programu za kuzuia zinazozingatia jamii huhamasisha viongozi wa eneo husika na vikundi ili kuunda mazingira salama zaidi.,Chenro mag geng'o ywarruok e gwenge nyala chwal jotelo mondo giriwre e kwedo dhao kod achaya,Original dataset,,
1694,Security & Safety,General,"Institutions must coordinate across sectors to provide effective, compassionate responses to survivors.",Taasisi lazima ziratibu katika sekta mbalimbali ili kutoa majibu yenye ufanisi na huruma kwa waathirika.,Oganda onego oriw lwedo tije mopogore opogore mondo ojiw joma osekale masira,Original dataset,,
1695,Security & Safety,General,Research strengthens program design and policy by generating evidence on effective prevention and response strategies.,Utafiti huimarisha muundo na sera za programu kwa kutoa ushahidi kuhusu mikakati madhubuti ya kuzuia na kukabiliana na athari.,Nonro jiwo chenro kod chike mag geng'o ywarruok kod yore mag geng'ogi,Original dataset,,
1696,Security & Safety,Voting,Women in politics face violence aimed at limiting participation. Electoral laws protect candidates and voters from gender-based harm.,Wanawake katika siasa wanakabiliwa na vurugu zinazolenga kupunguza ushiriki. Sheria za uchaguzi huwalinda wagombea na wapiga kura kutokana na madhara yanayotokana na jinsia.,Mon ma tiyo e siasa kale ywarruok mokel kod achaya omiyo nitie chike mag konyogi tiyo gi kue,Original dataset,,
1697,Security & Safety,General,Healthcare facilities must screen for violence and provide safe and comprehensive responses for survivors.,Vituo vya huduma ya afya lazima vichunguze vurugu na kutoa majibu salama na ya kina kwa waathirika.,Ute mag thieth nyaka non joma kale mahundu kendo chiwo dwoko makare mag kaka kinyalo yudo kony,Original dataset,,
1698,Security & Safety,General,Public transport systems must address harassment through staff training and appropriate response measures.,Mifumo ya usafiri wa umma lazima ishughulikie unyanyasaji kupitia mafunzo ya wafanyakazi na hatua zinazofaa za kukabiliana.,Nyamburko mag raia nyaka tim kinda mondo gitiek ywarruok kod dhaw kuom tiego jotich kendo kawo okang' mowinjore,Original dataset,,
1699,Security & Safety,General,Women in agriculture face distinct risks. Cooperatives should adopt prevention policies and reporting options.,Wanawake katika kilimo wanakabiliwa na hatari tofauti. Vyama vya ushirika vinapaswa kupitisha sera za kuzuia na chaguzi za kuripoti.,Mon ma tiyo e tij pur romo gi pek mopogore opogore. Migepe pur nyaka jiw arito jopur mamon,Original dataset,,
1700,Security & Safety,General,High-density informal settlements require community-led safety efforts to reduce violence.,Makazi yasiyo rasmi yenye msongamano mkubwa yanahitaji juhudi za usalama zinazoongozwa na jamii ili kupunguza vurugu.,Joma odak e mier ma nigi ji mang'eny ahinya dwaro ni ji otim kinda mondo gikony e tieko timbe mahundu.,Original dataset,,
1701,Security & Safety,General,Older women experience specific forms of abuse. Caregiver training supports prevention and protection.,Wanawake wazee hupata aina maalum za unyanyasaji. Mafunzo ya walezi husaidia kuzuia na kulinda.,"Ng'eny deye kale mahundu e, kendo tiego joma ritogi konyo e geng'o timbe maricho",Original dataset,,
1702,Security & Safety,General,Religious institutions influence community norms. Clergy training and counseling support safe and equitable environments.,Taasisi za kidini zinaathiri kanuni za jamii. Mafunzo na ushauri nasaha wa makasisi huunga mkono mazingira salama na yenye usawa.,Riwruok mag dinde chiko chike mag oganda. Tiego jotend din kendo chiwo puonj konyo mondo ji obed gi ngima maber.,Original dataset,,
1703,Security & Safety,General,"Sports programs must prevent harassment, abuse, and hazing through clear boundaries and reporting procedures.","Programu za michezo lazima zizuie unyanyasaji, unyanyasaji, na unyanyasaji kupitia mipaka iliyo wazi na taratibu za kuripoti.","Chenro mag tuke onego ne ni hinyruok onge, kendo onego oket chenro mar chiwo ripot.",Original dataset,,
1704,Security & Safety,General,Hospitality venues should recognize and address risks such as trafficking and harassment while protecting guests and staff.,Maeneo ya ukarimu yanapaswa kutambua na kushughulikia hatari kama vile usafirishaji haramu wa binadamu na unyanyasaji huku yakiwalinda wageni na wafanyakazi.,Kembe mag rwako welo onego ong'e kendo oti gi yore mopogore opogore mag rito welo kod jotichgi.,Original dataset,,
1705,Security & Safety,General,Fishing industry environments pose risks of exploitation. Safety improvements at docks support worker protection.,Mazingira ya tasnia ya uvuvi yana hatari ya unyonyaji. Maboresho ya usalama kwenye gati yanaunga mkono ulinzi wa wafanyakazi.,ohala mar lupo nyalo ting'o jonjore moloyo ka onge chike mageng'o timbe mahundu,Original dataset,,
1706,Security & Safety,General,"Women living with HIV face increased risks and barriers. Integrated health, counseling, and legal services provide essential support.","Wanawake wanaoishi na VVU wanakabiliwa na hatari na vikwazo vilivyoongezeka. Huduma jumuishi za afya, ushauri nasaha, na sheria hutoa msaada muhimu.",Mon ma nigi tuo mar HIV yudo pek mang'eny minyalogeng' gi chik kod chenro marito ngima gi,Original dataset,,
1707,Security & Safety,General,Mining areas require strict policies and safety measures to prevent harassment and exploitation.,Maeneo ya uchimbaji madini yanahitaji sera kali na hatua za usalama ili kuzuia unyanyasaji na unyonyaji.,Kuonde mag kunyo mwandu dwaro ni ji oluw chike kod rit motegno mondo ogeng' ywarruok,Original dataset,,
1708,Security & Safety,General,Market environments must establish reporting systems and committees to prevent harassment and extortion.,Mazingira ya soko lazima yaanzishe mifumo na kamati za kuripoti ili kuzuia unyanyasaji na ulaghai.,"Mondo omi kik hiny ji kendo kik gimi ji thuolo mar timo kamano, dwarore ni olos chenro mag chiwo ripot kod komiti.",Original dataset,,
1709,Security & Safety,General,Residential facilities for persons with disabilities require strong safeguards and accessible education on rights and reporting.,Vifaa vya makazi kwa watu wenye ulemavu vinahitaji ulinzi mkali na elimu inayopatikana kwa urahisi kuhusu haki na utoaji wa taarifa.,Ute oma odak gi ng'ol onego obed gi rit motegno kendo gibed gi thuolo mar yudo puonj e wi wach ratiro mag gi kod chiwo ripot.,Original dataset,,
1710,Security & Safety,Gender-Based Violence,Higher education institutions must address campus sexual violence through comprehensive strategies and anonymous reporting.,Taasisi za elimu ya juu lazima zishughulikie unyanyasaji wa kijinsia chuoni kupitia mikakati kamili na kuripoti bila majina.,Skunde mag tiegruok nyaka ti gi yore mag puonjo mahundu mag nindruok e skunde ka gitiyo gi yore ma ok nyis nying.,Original dataset,,
1711,Security & Safety,General,"Refugee camps must prioritize safety planning, adequate lighting, and women’s participation in governance.","Kambi za wakimbizi lazima zitoe kipaumbele katika kupanga usalama, taa za kutosha, na ushiriki wa wanawake katika utawala.","Kampe mag joma oringo thuchegi nyaka ket motelo chenro mar rito ngima, ler mowinjore, koda konyo mon e locho.",Original dataset,,
1712,Security & Safety,General,"Government workplaces must maintain zero tolerance for harassment through training, accountability, and independent reporting systems.","Sehemu za kazi za serikali lazima zidumishe uvumilivu wowote kwa unyanyasaji kupitia mafunzo, uwajibikaji, na mifumo huru ya kuripoti.","Ofise mag sirkal nyaka geng' sand ma dhi mbele kuonde tich, ka gitiyo gi tiegruok, timo migepe, kod chenro mag chiwo ripot ma onge gi ratiro.",Original dataset,,
1713,Security & Safety,General,Climate disasters increase risks of violence. Preparedness must include violence risk assessments and mitigation actions.,Maafa ya hali ya hewa huongeza hatari za vurugu. Utayari lazima ujumuishe tathmini za hatari za vurugu na hatua za kupunguza athari.,Masira mabiro kaluwore gi lokruok yamo medo mahundu. Ikruok nyaka ng'I yore mag geng'o mahundu,Original dataset,,
1714,Security & Safety,General,"Children face online risks. Parents should monitor use, apply controls, and teach safe behavior.","Watoto wanakabiliwa na hatari mtandaoni. Wazazi wanapaswa kufuatilia matumizi, kutumia vidhibiti, na kuwafundisha tabia salama.","Jonyuol onego onon kaka nyithindo tiyo gi Intanet, gibed gi ritruok, kendo gipuonj nyithindgi bedo gi timbe mabeyo.",Original dataset,,
1715,Security & Safety,General,Suspected child abuse should be reported immediately to police or through the *116# anonymous helpline.,Unyanyasaji unaoshukiwa kwa watoto unapaswa kuripotiwa mara moja kwa polisi au kupitia simu ya usaidizi ya *116# isiyojulikana.,"Ka ng'ato paro ni osetimne nyithindo timbe maricho, onego onyis polis mapiyo kata kokalo kuom simo mar kony mar *116#.",Original dataset,,
1716,Security & Safety,General,Child trafficking remains a major threat. Communities should report suspicious activity to authorities.,Usafirishaji haramu wa watoto bado ni tishio kubwa. Jamii zinapaswa kuripoti shughuli zinazotiliwa shaka kwa mamlaka.,Dhano ma tiyo gi nyithindo kaka joma terore pod dhi nyime bedo gi chandruok maduong'.,Original dataset,,
1717,Security & Safety,General,"Schools must implement protection policies, anti-bullying systems, and counseling services to safeguard learners.","Shule lazima zitekeleze sera za ulinzi, mifumo ya kupambana na uonevu, na huduma za ushauri nasaha ili kuwalinda wanafunzi.","Skunde onego oket chenro mag rito nyithindo, chenro mag kedo gi ichwanyruok, koda chiwo puonj mondo oritgo nyithindgi.",Original dataset,,
